Date,USD,GBP,EURO,YEN
22/03/2016,66.5411,95.7526,74.8987,59.37
21/03/2016,66.504,95.8722,74.9168,59.66
18/03/2016,66.6088,96.323,75.3012,59.87
17/03/2016,66.8806,95.1644,75.0735,59.59
16/03/2016,67.368,95.1708,74.7583,59.4
15/03/2016,67.229,95.9223,74.6444,59.31
14/03/2016,67.023,96.3389,74.8044,58.9
11/03/2016,67.0868,95.753,74.9427,59.13
10/03/2016,67.051,95.2258,73.622,58.99
09/03/2016,67.4632,95.6965,74.0611,59.92
08/03/2016,67.338,95.9028,74.193,59.59
04/03/2016,67.2713,95.2158,73.6688,59.1
03/03/2016,67.3786,94.896,73.1664,59.05
02/03/2016,67.7022,94.6003,73.5314,59.42
01/03/2016,68.158,95.0395,74.2172,60.5
29/02/2016,68.616,95.1978,75.0796,60.78
26/02/2016,68.7775,96.089,76.0404,61.03
25/02/2016,68.599,95.5721,75.6784,61.01
24/02/2016,68.565,95.8127,75.4695,61.27
23/02/2016,68.6408,96.8934,75.7657,61.12
22/02/2016,68.5517,97.8438,76.1952,60.75
18/02/2016,68.494,97.8642,76.3297,60.15
17/02/2016,68.592,98.018,76.6104,60.32
16/02/2016,68.336,98.4312,76.2425,59.68
15/02/2016,68.1348,99.0067,76.5086,59.84
12/02/2016,68.4365,98.9797,77.3606,60.94
11/02/2016,68.0155,98.8061,76.8439,60.54
10/02/2016,67.8781,98.2943,76.648,59.21
09/02/2016,68.1623,98.2696,76.3827,59.39
08/02/2016,67.819,98.3308,75.5368,57.75
05/02/2016,67.6365,98.472,75.7326,57.91
04/02/2016,67.8093,98.7914,75.1327,57.42
03/02/2016,68.1825,98.3192,74.4553,56.98
02/02/2016,67.834,97.6131,73.9323,56.21
01/02/2016,67.6728,96.5149,73.4115,55.78
29/01/2016,67.8763,97.7554,74.0666,56.26
28/01/2016,68.0858,97.0155,74.0637,57.36
27/01/2016,67.9803,97.5109,73.813,57.45
25/01/2016,67.6428,96.736,73.1219,56.93
22/01/2016,67.748,96.4461,73.405,57.38
21/01/2016,68.06,96.5567,74.165,58.3
20/01/2016,67.9774,96.2016,74.4828,58.24
19/01/2016,67.563,96.4192,73.5018,57.37
18/01/2016,67.588,96.4819,73.6101,57.68
15/01/2016,67.4325,97.1095,73.3868,57.25
14/01/2016,67.095,96.6369,72.9725,57.01
13/01/2016,66.8394,96.603,72.4272,56.57
12/01/2016,66.8905,97.1518,72.7434,56.91
11/01/2016,66.7885,97.057,72.9264,56.93
08/01/2016,66.669,97.4501,72.5292,56.32
07/01/2016,66.9115,97.8514,72.3782,56.78
06/01/2016,66.7165,97.773,71.7002,56.19
05/01/2016,66.5418,97.9562,72.0315,55.71
04/01/2016,66.4623,97.9455,72.3907,55.65
01/01/2016,66.178,97.6059,71.8627,55.01
31/12/2015,66.326,98.3482,72.501,55.09
30/12/2015,66.4243,98.5471,72.6018,55.17
29/12/2015,66.37,98.9112,72.8477,55.16
28/12/2015,66.138,98.6911,72.5534,54.92
23/12/2015,66.202,98.2967,72.4117,54.74
22/12/2015,66.2985,98.7052,72.3317,54.68
21/12/2015,66.324,98.9886,72.134,54.67
18/12/2015,66.4235,99.1703,72.1359,54.48
17/12/2015,66.6488,99.6133,72.3273,54.43
16/12/2015,66.8468,100.5777,73.1571,54.84
15/12/2015,67.0435,101.6715,73.9289,55.49
14/12/2015,66.994,101.784,73.4656,55.29
11/12/2015,66.786,101.1006,73.104,54.75
10/12/2015,66.7905,101.3679,73.4629,54.91
09/12/2015,66.75,100.2919,72.891,54.4
08/12/2015,66.7983,100.4914,72.5162,54.27
07/12/2015,66.6263,100.6524,72.4028,54.05
04/12/2015,66.8365,101.0434,73.0456,54.51
03/12/2015,66.745,99.6102,70.6696,54.08
02/12/2015,66.6158,100.3434,70.666,54.12
01/12/2015,66.518,100.4355,70.4359,54.13
30/11/2015,66.8148,100.3692,70.6834,54.41
27/11/2015,66.7503,100.6795,70.8755,54.53
26/11/2015,66.5507,100.6446,70.6968,54.3
24/11/2015,66.384,100.4523,70.5529,54.1
23/11/2015,66.349,100.6647,70.4693,53.87
20/11/2015,66.094,101.0379,70.8594,53.82
19/11/2015,66.1105,101.0301,70.7779,53.62
18/11/2015,66.1138,100.5128,70.3914,53.63
17/11/2015,65.9805,100.1056,70.3484,53.48
16/11/2015,66.169,100.6563,70.9729,54.05
13/11/2015,66.139,100.5511,71.2648,53.9
10/11/2015,66.3495,100.2806,71.2992,53.8
09/11/2015,66.3378,100.0308,71.4458,53.79
06/11/2015,65.791,99.9497,71.5477,54
05/11/2015,65.6755,101.0221,71.3499,54.05
04/11/2015,65.568,101.1255,71.797,54.17
03/11/2015,65.451,100.9647,72.1008,54.24
02/11/2015,65.4793,101.0608,72.2171,54.38
30/10/2015,65.2231,99.9348,71.6671,53.92
29/10/2015,65.1515,99.3626,71.2497,53.93
28/10/2015,65.0408,99.584,71.753,54.01
27/10/2015,64.9553,99.7324,71.8406,53.83
26/10/2015,64.9603,99.5452,71.6447,53.63
23/10/2015,64.8815,99.8851,72.0639,53.79
21/10/2015,65.1513,100.535,73.9728,54.31
20/10/2015,64.8908,100.3926,73.5213,54.33
19/10/2015,64.8178,100.1176,73.7497,54.36
16/10/2015,64.9697,100.5536,73.994,54.54
15/10/2015,64.824,100.4124,74.5022,54.61
14/10/2015,65.1123,99.4981,74.241,54.41
13/10/2015,65.0215,99.886,73.9164,54.26
12/10/2015,64.726,99.2962,73.5999,53.86
09/10/2015,64.7848,99.5418,73.0837,53.96
08/10/2015,65.157,99.7814,73.3277,54.41
07/10/2015,65.2571,99.5301,73.4664,54.34
06/10/2015,65.3908,99.054,73.1919,54.41
05/10/2015,65.2905,99.3134,73.3931,54.39
01/10/2015,65.554,99.1701,73.0796,54.54
30/09/2015,65.7418,99.5331,73.7952,54.8
29/09/2015,66.1843,100.4611,74.6096,55.42
28/09/2015,66.0805,100.3168,73.8119,54.92
24/09/2015,66.0993,100.8874,73.9585,55.08
23/09/2015,65.9696,101.1908,73.378,54.92
22/09/2015,65.625,101.7319,73.2638,54.5
21/09/2015,65.7531,102.1672,74.3799,54.83
18/09/2015,65.9255,102.7515,75.1287,55.01
16/09/2015,66.5,101.9977,75.0253,55.34
15/09/2015,66.4383,102.408,75.0487,55.55
14/09/2015,66.3708,102.5429,75.3242,55.18
11/09/2015,66.3866,102.5939,74.8974,55
10/09/2015,66.584,102.293,74.7139,55.14
09/09/2015,66.2945,101.888,73.9847,55.07
08/09/2015,66.606,102.3002,74.6054,55.6
07/09/2015,66.7445,101.3649,74.2733,55.93
04/09/2015,66.4003,101.1941,73.8903,55.57
03/09/2015,66.228,101.2229,74.3343,54.98
02/09/2015,66.1638,101.2174,74.6063,55.09
